1095,188,Mexico City,19.4424,-99.131,Mexico City,NLU,Santa Lucia,Mexico
7436,65,Agra,27.1704,78.015,Agra,AGR,Kheria,India
3471,48,Agri,39.7198,43.0513,Agri,AJI,Ağri,Turkey
3472,96,Agri,39.7198,43.0513,Agri,AJI,Ağri,Turkey
3473,169,Agri,39.7198,43.0513,Agri,AJI,Ağri,Turkey
1105,188,La Paz,24.14,-110.32,La Paz,LPB,El Alto,Bolivia
1105,188,La Paz,24.14,-110.32,La Paz,LAP,Leon,Mexico
4207,196,La Paz,-33.4661,-67.55,La Paz,LPB,El Alto,Bolivia
4207,196,La Paz,-33.4661,-67.55,La Paz,LAP,Leon,Mexico
4781,197,La Paz,-16.498,-68.15,La Paz,LPB,El Alto,Bolivia
4781,197,La Paz,-16.498,-68.15,La Paz,LAP,Leon,Mexico
7113,186,La Paz,14.32,-87.684,La Paz,LPB,El Alto,Bolivia
7113,186,La Paz,14.32,-87.684,La Paz,LAP,Leon,Mexico
7350,65,Ahmedabad,23.0301,72.58,Ahmedabad,AMD,Ahmedabad,India
1119,188,Leon,21.15,-101.7,Leon,LEN,Aeropuero de Bajio,Spain
1416,189,Leon,12.4356,-86.8794,Leon,LEN,Aeropuero de Bajio,Spain
6557,45,Leon,42.58,-5.57,Leon,LEN,Aeropuero de Bajio,Spain
1121,188,Campeche,19.83,-90.5,Campeche,CPE,Campeche International,Mexico
12695,195,Aiken,33.5303,-81.7271,Aiken,AIK,Municipal,United States
1127,188,Lagos de Moreno,21.3704,-101.93,Lagos de Moreno,LOM,Francisco P. V. y R.,Mexico
1132,188,Los Mochis,25.79,-109,Los Mochis,LMM,Federal,Mexico
1140,188,Ensenada,31.87,-116.62,Ensenada,ESE,Ensenada,Mexico
1143,188,Minatitlan,17.9805,-94.53,Minatitlan,MTT,Minatitlan,Mexico
1147,188,Morelia,19.7334,-101.1895,Morelia,MLM,Morelia,Mexico
1156,188,Loreto,26.0133,-111.3517,Loreto,LTO,Loreto,Mexico
7381,65,Aizawl,23.7104,92.72,Aizawl,AJL,Aizawl,India
6641,16,Ajaccio,41.9271,8.7283,Ajaccio,AJA,Campo Dell Oro,France
1160,188,Manzanillo,19.0496,-104.3231,Manzanillo,MZO,Sierra Maestra,Cuba
1160,188,Manzanillo,19.0496,-104.3231,Manzanillo,ZLO,Manzanillo,Mexico
6189,179,Manzanillo,20.3438,-77.1166,Manzanillo,MZO,Sierra Maestra,Cuba
6189,179,Manzanillo,20.3438,-77.1166,Manzanillo,ZLO,Manzanillo,Mexico
1163,188,Monclova,26.9,-101.42,Monclova,LOV,Monclova,Mexico
1165,188,Nogales,31.305,-110.945,Nogales,OLS,International,United States
1165,188,Nogales,31.305,-110.945,Nogales,NOG,Nogales,Mexico
11525,195,Nogales,31.3624,-110.9336,Nogales,OLS,International,United States
11525,195,Nogales,31.3624,-110.9336,Nogales,NOG,Nogales,Mexico
7852,70,Akita,39.71,140.09,Akita,AXT,Akita,Japan
899,133,Akjoujt,19.747,-14.391,Akjoujt,AJJ,Akjoujt,Mauritania
7419,65,Akola,20.71,77.01,Akola,AKD,Akola,India
11751,195,Akron,41.0802,-81.5219,Akron,AKO,Washington Co,United States
6040,61,Aksu,41.15,80.25,Aksu,AKU,Aksu,China
1336,139,Akure,7.2504,5.2,Akure,AKR,Akure,Nigeria
90,171,Al Ghaydah,16.2394,52.1638,Al Ghaydah,AAY,Al Ghaydah,Yemen
2611,89,Al Kharj,24.1556,47.312,Al Kharj,AKH,Prince Sultan Air Base,Saudi Arabia
2612,167,Al Kharj,24.1556,47.312,Al Kharj,AKH,Prince Sultan Air Base,Saudi Arabia
50,24,Atbasar,51.8219,68.3477,Atbasar,ATX,Atbasar,Kazakhstan
68,72,Atbasar,51.8219,68.3477,Atbasar,ATX,Atbasar,Kazakhstan
10285,195,Alameda,37.767,-122.2673,Alameda,NGZ,NAS,United States
8916,195,Alamogordo,32.8834,-105.9627,Alamogordo,HMN,Holloman AFB,United States
8916,195,Alamogordo,32.8834,-105.9627,Alamogordo,ALM,Municipal,United States
10501,195,Alamosa,37.4755,-105.877,Alamosa,ALS,Municipal,United States
6554,45,Albacete,39.0003,-1.87,Albacete,ABC,Los Llanos,Spain
4358,155,Albany,-35.0169,117.8916,Albany,NAB,Albany NAS,United States
4358,155,Albany,-35.0169,117.8916,Albany,ABY,Dougherty County,United States
4358,155,Albany,-35.0169,117.8916,Albany,ALB,Albany International,United States
4358,155,Albany,-35.0169,117.8916,Albany,ZLY,Albany NY Rail,United States
4358,155,Albany,-35.0169,117.8916,Albany,CVO,Albany,United States
4358,155,Albany,-35.0169,117.8916,Albany,ALH,Albany,Australia
9751,195,Albany,42.6664,-73.7987,Albany,NAB,Albany NAS,United States
9751,195,Albany,42.6664,-73.7987,Albany,ABY,Dougherty County,United States
9751,195,Albany,42.6664,-73.7987,Albany,ALB,Albany International,United States
9751,195,Albany,42.6664,-73.7987,Albany,ZLY,Albany NY Rail,United States
9751,195,Albany,42.6664,-73.7987,Albany,CVO,Albany,United States
9751,195,Albany,42.6664,-73.7987,Albany,ALH,Albany,Australia
11214,195,Albany,31.5776,-84.1762,Albany,NAB,Albany NAS,United States
11214,195,Albany,31.5776,-84.1762,Albany,ABY,Dougherty County,United States
11214,195,Albany,31.5776,-84.1762,Albany,ALB,Albany International,United States
11214,195,Albany,31.5776,-84.1762,Albany,ZLY,Albany NY Rail,United States
11214,195,Albany,31.5776,-84.1762,Albany,CVO,Albany,United States
11214,195,Albany,31.5776,-84.1762,Albany,ALH,Albany,Australia
10351,195,Albany,37.8898,-122.3018,Albany,NAB,Albany NAS,United States
10351,195,Albany,37.8898,-122.3018,Albany,ABY,Dougherty County,United States
10351,195,Albany,37.8898,-122.3018,Albany,ALB,Albany International,United States
10351,195,Albany,37.8898,-122.3018,Albany,ZLY,Albany NY Rail,United States
10351,195,Albany,37.8898,-122.3018,Albany,CVO,Albany,United States
10351,195,Albany,37.8898,-122.3018,Albany,ALH,Albany,Australia
12884,195,Albany,44.6274,-123.0966,Albany,NAB,Albany NAS,United States
12884,195,Albany,44.6274,-123.0966,Albany,ABY,Dougherty County,United States
12884,195,Albany,44.6274,-123.0966,Albany,ALB,Albany International,United States
12884,195,Albany,44.6274,-123.0966,Albany,ZLY,Albany NY Rail,United States
12884,195,Albany,44.6274,-123.0966,Albany,CVO,Albany,United States
12884,195,Albany,44.6274,-123.0966,Albany,ALH,Albany,Australia
83,101,Dhamar,14.5575,44.3875,Dhamar,DMR,Dhamar,Yemen
12281,195,Albert Lea,43.6548,-93.3643,Albert Lea,AEL,Albert Lea,United States
3011,205,Albina,5.5,-54.05,Albina,ABN,Albina,Suriname
8923,195,Albuquerque,35.1055,-106.6476,Albuquerque,ABQ,Albuquerque International,United States
4505,155,Albury,-36.06,146.92,Albury,ABX,Albury,Australia
2532,40,Aldan,58.603,125.3894,Aldan,ADH,Aldan,Russian Federation
